Isolate,Source Type,Source Site,Isolate Date,Source State
CGT1203,Human,Stool,12/10/2016,FL
CGT1365,Environmental,Water,12/20/2016,SC
CGT1293,Human,Stool,12/14/2016,SC
CGT1358,Environmental,Burger chain,12/14/2016,SC
CGT1729,Human,Stool,12/5/2016,WV
CGT1548,Environmental,Prepack Store Salad,12/11/2016,GA
CGT1953,Human,Stool,11/28/2016,TN
CGT1058,Human,Stool,12/10/2016,FL
CGT1891,Environmental,Water,12/24/2016,SC
CGT1913,Human,Stool,12/22/2016,TN
CGT1595,Human,Stool,12/4/2016,MI
CGT1572,Environmental,Prepack Store Lettuce,12/15/2016,VA
CGT1632,Human,Stool,12/10/2016,FL
CGT1036,Human,Stool,12/14/2016,VA
CGT1743,Environmental,Salad Mix,12/4/2016,FL
CGT1491,Human,Stool,12/25/2016,VA
CGT1720,Human,Stool,12/5/2016,NJ
CGT1145,Human,Stool,12/24/2016,VA
CGT1686,Environmental,Salad Mix,12/14/2016,FL
CGT1357,Environmental,Water,12/27/2016,GA
CGT1688,Environmental,Salad Mix,12/3/2016,WV
CGT1239,Human,Stool,12/15/2016,SC
CGT1785,Human,Stool,12/7/2016,GA
CGT1240,Human,Stool,12/22/2016,TN
CGT1671,Human,Stool,12/14/2016,TN
CGT1166,Human,Stool,12/20/2016,VA
CGT1204,Human,Stool,12/28/2016,SC
CGT1831,Human,Stool,12/13/2016,VA
CGT1020,Human,Stool,12/5/2016,NJ
CGT1200,Human,Stool,12/10/2016,WV
CGT1752,Human,Stool,12/14/2016,GA
CGT1751,Human,Stool,12/3/2016,NJ
CGT1350,Human,Stool,12/25/2016,VA
CGT1803,Human,Stool,12/14/2016,GA
CGT1217,Human,Stool,12/15/2016,VA
CGT1759,Human,Stool,12/11/2016,GA
CGT1288,Human,Stool,11/28/2016,TN
CGT1552,Human,Unknown,12/19/2016,SC
CGT1476,Environmental,Leafy Green,12/10/2016,CA
CGT1704,Human,Stool,12/5/2016,WV
CGT1309,Human,Stool,12/5/2016,MI
CGT1292,Human,Stool,12/2/2016,NJ
CGT1042,Environmental,Water,12/11/2016,FL
CGT1419,Environmental,Water,12/11/2016,CA
CGT1032,Human,Stool,12/5/2016,MI
CGT1814,Human,Stool,12/22/2016,VA
CGT1294,Environmental,Feces,12/9/2016,CA
CGT1077,Human,Stool,12/9/2016,SC
CGT1033,Human,Stool,12/9/2016,GA
CGT1602,Human,Stool,12/9/2016,GA
