variable,group,value
1032,acrA,1
1032,acrB,1
1032,allB,1
1032,aslA,1
1032,cesAB,1
1032,cesD,1
1032,cesD2,1
1032,cesL,1
1032,cesT,1
1032,csgB,1
1032,eae,1
1032,east1,1
1032,efa1,1
1032,entB,1
1032,entC,1
1032,entD,1
1032,entE,1
1032,entF,1
1032,entS,1
1032,escC,1
1032,escD,1
1032,escE,1
1032,escF,1
1032,escG,1
1032,escI,1
1032,escJ,1
1032,escL,1
1032,escN,1
1032,escO,1
1032,escR,1
1032,escS,1
1032,escT,1
1032,escU,1
1032,escV,1
1032,espA,1
1032,espB,1
1032,espD,1
1032,espF,1
1032,espFu/tccP,1
1032,espG,1
1032,espK,1
1032,espL1,1
1032,espL2,1
1032,espL4,1
1032,espM1,1
1032,espN,1
1032,espP,1
1032,espR1,1
1032,espX1,1
1032,espX4,1
1032,espX5,1
1032,espX7/nleL,1
1032,etgA,1
1032,fdeC,1
1032,fepA,1
1032,fepB,1
1032,fepC,1
1032,fepD,1
1032,fepG,1
1032,fes,1
1032,fimA,1
1032,fimB,1
1032,fimC,1
1032,fimD,1
1032,fimE,1
1032,fimF,1
1032,fimG,1
1032,fimH,1
1032,fimI,1
1032,flhA,1
1032,gspC,1
1032,gspD,1
1032,gspE,1
1032,gspF,1
1032,gspG,1
1032,gspH,1
1032,gspI,1
1032,gspJ,1
1032,gspK,1
1032,gspL,1
1032,gspM,1
1032,hlyA,1
1032,hlyB,1
1032,hlyC,1
1032,hlyD,1
1032,iucA,1
1032,iucB,1
1032,iucC,1
1032,iucD,1
1032,iutA,1
1032,map,1
1032,nleA/espI,1
1032,nleB1,1
1032,nleC,1
1032,nleE,1
1032,nleF,1
1032,nleG7',1
1032,nleH2,1
1032,ompA,1
1032,paa,1
1032,rcsB,1
1032,sepD,1
1032,sepL,1
1032,sepQ/escQ,1
1032,sepZ/espZ,1
1032,stxA,1
1032,stxB,1
1032,waaF,1
1032,yagV/ecpE,1
1032,yagW/ecpD,1
1032,yagX/ecpC,1
1032,yagY/ecpB,1
1032,yagZ/ecpA,1
1032,ykgK/ecpR,1
1032,algA,0
1032,espY1,0
1032,fyuA,0
1032,gnd,0
1032,gtrB,0
1032,iroB,0
1032,iroC,0
1032,iroD,0
1032,iroE,0
1032,iroN,0
1032,irp1,0
1032,irp2,0
1032,ybtA,0
1032,ybtE,0
1032,ybtP,0
1032,ybtQ,0
1032,ybtS,0
1032,ybtT,0
1032,ybtU,0
1032,ybtX,0
1032,chuA,0
1032,chuS,0
1032,chuT,0
1032,chuU,0
1032,chuV,0
1032,chuW,0
1032,chuX,0
1032,chuY,0
1032,clbA,0
1032,clbB,0
1032,clbC,0
1032,clbD,0
1032,clbE,0
1032,clbF,0
1032,clbG,0
1032,clbH,0
1032,clbI,0
1032,clbJ,0
1032,clbK,0
1032,clbL,0
1032,clbM,0
1032,clbN,0
1032,clbO,0
1032,clbP,0
1032,clbQ,0
1032,clbS,0
1032,clpV/tssH,0
1032,galF,0
1032,kpsD,0
1032,kpsM,0
1032,kpsT,0
1032,papA,0
1032,papB,0
1032,papC,0
1032,papD,0
1032,papE,0
1032,papF,0
1032,papG,0
1032,papH,0
1032,papI,0
1032,papJ,0
1032,papK,0
1032,papX,0
1032,tcpC,0
1032,vat,0
1032,vgrG/tssI,0
1032,vipB/tssC,0
1032,ADP,0
1032,cesF,0
1032,clpB,0
1032,espH,0
1032,espJ,0
1032,espM2,0
1032,espR3,0
1032,espR4,0
1032,espW,0
1032,espX2,0
1032,espX6,0
1032,espY2,0
1032,espY3,0
1032,espY4,0
1032,nleB2,0
1032,nleD,0
1032,nleH1,0
1032,sat,0
1032,shuA,0
1032,shuS,0
1032,shuT,0
1032,shuU,0
1032,shuV,0
1032,shuX,0
1032,shuY,0
1032,stcE,0
1032,stx1A,0
1032,stx2A,0
1032,stx2B,0
1032,tir,0
1032,toxB,0
1032,manB,0
1032,manC,0
1759,acrA,1
1759,acrB,1
1759,allB,1
1759,aslA,1
1759,cesAB,1
1759,cesD,1
1759,cesD2,1
1759,cesL,1
1759,cesT,1
1759,csgB,1
1759,eae,1
1759,east1,1
1759,efa1,1
1759,entB,1
1759,entC,1
1759,entD,1
1759,entE,1
1759,entF,1
1759,entS,1
1759,escC,1
1759,escD,1
1759,escE,1
1759,escF,1
1759,escG,1
1759,escI,1
1759,escJ,1
1759,escL,1
1759,escN,1
1759,escO,1
1759,escR,1
1759,escS,1
1759,escT,1
1759,escU,1
1759,escV,1
1759,espA,1
1759,espB,1
1759,espD,1
1759,espF,1
1759,espFu/tccP,1
1759,espG,1
1759,espK,1
1759,espL1,1
1759,espL2,1
1759,espL4,1
1759,espM1,1
1759,espN,1
1759,espP,1
1759,espR1,1
1759,espX1,1
1759,espX4,1
1759,espX5,1
1759,espX7/nleL,1
1759,etgA,1
1759,fdeC,1
1759,fepA,1
1759,fepB,1
1759,fepC,1
1759,fepD,1
1759,fepG,1
1759,fes,1
